"time","Q_m3pd"
2023-10-21,134.18767447373
2023-10-22,93.9313721316112
2023-10-23,65.7519604921278
2023-10-24,46.0263723444895
2023-10-25,32.2184606411426
2023-10-26,22.5529224487999
2023-10-27,15.7870457141599
2023-10-28,11.0509319999119
2023-10-29,7.73565239993835
2023-10-30,5.41495667995684
2023-10-31,3.79046967596979
2023-11-01,2.65332877317885
2023-11-02,1.8573301412252
2023-11-03,1.30013109885764
2023-11-04,0.910091769200347
2023-11-05,0.637064238440243
2023-11-06,0.44594496690817
2023-11-07,0.312161476835719
2023-11-08,0.218513033785003
2023-11-09,0.152959123649502
2023-11-10,1116.59335122471
2023-11-11,781.615345857295
2023-11-12,547.130742100106
2023-11-13,382.991519470075
2023-11-14,268.094063629052
2023-11-15,187.665844540337
2023-11-16,131.366091178236
2023-11-17,91.9562638247649
2023-11-18,64.3693846773354
2023-11-19,45.0585692741348
2023-11-20,31.5409984918944
2023-11-21,3686.49700462906
2023-11-22,2580.54790324034
2023-11-23,1806.38353226824
2023-11-24,1264.46847258777
2023-11-25,885.127930811438
2023-11-26,619.589551568007
2023-11-27,433.712686097605
2023-11-28,303.598880268323
2023-11-29,212.519216187826
2023-11-30,148.763451331478
2023-12-01,104.134415932035
2023-12-02,72.8940911524244
2023-12-03,88.9678684520576
2023-12-04,62.2775079164403
2023-12-05,43.5942555415082
2023-12-06,30.5159788790558
2023-12-07,21.361185215339
2023-12-08,14.9528296507373
2023-12-09,10.4669807555161
2023-12-10,1647.15646927253
2023-12-11,1153.00952849077
2023-12-12,807.106669943538
2023-12-13,564.974668960476
2023-12-14,395.482268272333
2023-12-15,276.837587790633
2023-12-16,193.786311453443
2023-12-17,135.65041801741
2023-12-18,94.9552926121872
2023-12-19,66.4687048285311
2023-12-20,46.5280933799718
2023-12-21,32.5696653659802
2023-12-22,22.7987657561862
2023-12-23,15.9591360293303
2023-12-24,11.1713952205312
2023-12-25,7.81997665437185
2023-12-26,816.627222355127
2023-12-27,571.639055648589
2023-12-28,400.147338954012
2023-12-29,280.103137267808
2023-12-30,196.072196087466
2023-12-31,137.250537261226
2024-01-01,96.0753760828583
2024-01-02,67.2527632580008
2024-01-03,47.0769342806006
2024-01-04,32.9538539964204
2024-01-05,23.0676977974943
2024-01-06,1231.9798020786
2024-01-07,862.38586145502
2024-01-08,603.670103018514
2024-01-09,5371.50182646738
2024-01-10,3760.05127852716
2024-01-11,2632.03589496901
2024-01-12,1842.42512647831
2024-01-13,1289.69758853482
2024-01-14,902.788311974372
2024-01-15,631.951818382061
2024-01-16,442.366272867442
2024-01-17,309.65639100721
2024-01-18,216.759473705047
