"datetime","reference_datetime","model_id","site_id","parameter","family","prediction","variable","depth_m","duration","project_id"
2024-08-13,2024-07-28,"fDOM_AR_dwh","fcre",19,"ensemble",25.1974571991718,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-07-28,2024-07-28,"fDOM_AR_dwh","fcre",20,"ensemble",18.6857885620654,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-07-29,2024-07-28,"fDOM_AR_dwh","fcre",20,"ensemble",16.8594025689351,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-07-30,2024-07-28,"fDOM_AR_dwh","fcre",20,"ensemble",16.3140720634817,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-07-31,2024-07-28,"fDOM_AR_dwh","fcre",20,"ensemble",18.0860869018692,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-01,2024-07-28,"fDOM_AR_dwh","fcre",20,"ensemble",18.702516841133,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-02,2024-07-28,"fDOM_AR_dwh","fcre",20,"ensemble",20.4826676178189,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-03,2024-07-28,"fDOM_AR_dwh","fcre",20,"ensemble",20.6674658725775,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-04,2024-07-28,"fDOM_AR_dwh","fcre",20,"ensemble",21.505627823417,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-05,2024-07-28,"fDOM_AR_dwh","fcre",20,"ensemble",21.7121795468011,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-06,2024-07-28,"fDOM_AR_dwh","fcre",20,"ensemble",19.9048899758031,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-07,2024-07-28,"fDOM_AR_dwh","fcre",20,"ensemble",20.6212096296409,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-08,2024-07-28,"fDOM_AR_dwh","fcre",20,"ensemble",21.7296564399052,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-09,2024-07-28,"fDOM_AR_dwh","fcre",20,"ensemble",21.1649717554479,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-10,2024-07-28,"fDOM_AR_dwh","fcre",20,"ensemble",22.403343806039,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-11,2024-07-28,"fDOM_AR_dwh","fcre",20,"ensemble",23.7925084334034,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-12,2024-07-28,"fDOM_AR_dwh","fcre",20,"ensemble",22.7747042268207,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-13,2024-07-28,"fDOM_AR_dwh","fcre",20,"ensemble",23.5145424124576,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-07-28,2024-07-28,"fDOM_AR_dwh","fcre",21,"ensemble",18.6029388426976,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-07-29,2024-07-28,"fDOM_AR_dwh","fcre",21,"ensemble",20.7608283430733,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-07-30,2024-07-28,"fDOM_AR_dwh","fcre",21,"ensemble",21.7601628066586,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-07-31,2024-07-28,"fDOM_AR_dwh","fcre",21,"ensemble",22.4028168638811,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
